epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,231.784,0.62544,0.41263,0.84246,0.97828,0.95157,0.98724,0.88862,0.47282,0.32569,0.81429,0.0670254,0.000333077,0.000333077
2,452.253,0.55427,0.34792,0.8275,0.98108,0.95111,0.98607,0.88736,0.45594,0.31106,0.81389,0.0340188,0.000659813,0.000659813
3,669.389,0.53314,0.33092,0.82453,0.98069,0.95619,0.98755,0.90134,0.43557,0.28949,0.80892,0.00100557,0.000979949,0.000979949
4,880.969,0.5153,0.31797,0.82193,0.97904,0.95786,0.98827,0.90236,0.42517,0.28012,0.80665,0.0009703,0.0009703,0.0009703
5,1089,0.50135,0.30706,0.81928,0.98199,0.95793,0.98865,0.90934,0.41179,0.26918,0.80348,0.0009604,0.0009604,0.0009604
6,1295.93,0.49224,0.29927,0.8173,0.98227,0.95911,0.98974,0.91642,0.40206,0.25583,0.80165,0.0009505,0.0009505,0.0009505
7,1503.55,0.48424,0.29384,0.81689,0.98223,0.95835,0.98851,0.91678,0.39805,0.25481,0.80243,0.0009406,0.0009406,0.0009406
8,1712.21,0.47907,0.28855,0.81552,0.98097,0.96022,0.98989,0.91825,0.38835,0.246,0.80093,0.0009307,0.0009307,0.0009307
9,1920.34,0.47185,0.28408,0.81484,0.98191,0.96056,0.99011,0.9228,0.38116,0.23953,0.79815,0.0009208,0.0009208,0.0009208
10,2128.35,0.46574,0.27804,0.81362,0.98279,0.9602,0.99019,0.9263,0.37537,0.23419,0.79797,0.0009109,0.0009109,0.0009109
11,2336.23,0.46089,0.27442,0.81245,0.98206,0.96247,0.99038,0.9279,0.37371,0.2293,0.79756,0.000901,0.000901,0.000901
12,2545.83,0.45665,0.27215,0.81201,0.98285,0.96123,0.99003,0.9261,0.37292,0.23043,0.79779,0.0008911,0.0008911,0.0008911
13,2754.23,0.45553,0.27179,0.81207,0.98213,0.96262,0.99046,0.92906,0.36834,0.22406,0.79646,0.0008812,0.0008812,0.0008812
14,2963.76,0.44889,0.26615,0.81003,0.98266,0.96226,0.99062,0.92906,0.36603,0.22225,0.79654,0.0008713,0.0008713,0.0008713
15,3174.97,0.44819,0.26578,0.81014,0.98364,0.96122,0.99103,0.93308,0.36275,0.2197,0.79583,0.0008614,0.0008614,0.0008614
16,3394.58,0.44504,0.26338,0.81035,0.98323,0.96317,0.99067,0.93245,0.36069,0.21844,0.79506,0.0008515,0.0008515,0.0008515
17,3610.59,0.44148,0.26063,0.80915,0.98414,0.96257,0.99091,0.93366,0.35693,0.21395,0.79484,0.0008416,0.0008416,0.0008416
18,3823.4,0.43884,0.25846,0.80875,0.98306,0.96412,0.99137,0.93482,0.35476,0.21253,0.79391,0.0008317,0.0008317,0.0008317
19,4037.56,0.43459,0.25582,0.80756,0.98367,0.96356,0.99111,0.93509,0.35282,0.21079,0.79399,0.0008218,0.0008218,0.0008218
