epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,231.784,0.62544,0.41263,0.84246,0.97828,0.95157,0.98724,0.88862,0.47282,0.32569,0.81429,0.0670254,0.000333077,0.000333077
2,452.253,0.55427,0.34792,0.8275,0.98108,0.95111,0.98607,0.88736,0.45594,0.31106,0.81389,0.0340188,0.000659813,0.000659813
3,669.389,0.53314,0.33092,0.82453,0.98069,0.95619,0.98755,0.90134,0.43557,0.28949,0.80892,0.00100557,0.000979949,0.000979949
4,880.969,0.5153,0.31797,0.82193,0.97904,0.95786,0.98827,0.90236,0.42517,0.28012,0.80665,0.0009703,0.0009703,0.0009703
5,1089,0.50135,0.30706,0.81928,0.98199,0.95793,0.98865,0.90934,0.41179,0.26918,0.80348,0.0009604,0.0009604,0.0009604
6,1295.93,0.49224,0.29927,0.8173,0.98227,0.95911,0.98974,0.91642,0.40206,0.25583,0.80165,0.0009505,0.0009505,0.0009505
7,1503.55,0.48424,0.29384,0.81689,0.98223,0.95835,0.98851,0.91678,0.39805,0.25481,0.80243,0.0009406,0.0009406,0.0009406
8,1712.21,0.47907,0.28855,0.81552,0.98097,0.96022,0.98989,0.91825,0.38835,0.246,0.80093,0.0009307,0.0009307,0.0009307
9,1920.34,0.47185,0.28408,0.81484,0.98191,0.96056,0.99011,0.9228,0.38116,0.23953,0.79815,0.0009208,0.0009208,0.0009208
10,2128.35,0.46574,0.27804,0.81362,0.98279,0.9602,0.99019,0.9263,0.37537,0.23419,0.79797,0.0009109,0.0009109,0.0009109
11,2336.23,0.46089,0.27442,0.81245,0.98206,0.96247,0.99038,0.9279,0.37371,0.2293,0.79756,0.000901,0.000901,0.000901
12,2545.83,0.45665,0.27215,0.81201,0.98285,0.96123,0.99003,0.9261,0.37292,0.23043,0.79779,0.0008911,0.0008911,0.0008911
13,2754.23,0.45553,0.27179,0.81207,0.98213,0.96262,0.99046,0.92906,0.36834,0.22406,0.79646,0.0008812,0.0008812,0.0008812
14,2963.76,0.44889,0.26615,0.81003,0.98266,0.96226,0.99062,0.92906,0.36603,0.22225,0.79654,0.0008713,0.0008713,0.0008713
15,3174.97,0.44819,0.26578,0.81014,0.98364,0.96122,0.99103,0.93308,0.36275,0.2197,0.79583,0.0008614,0.0008614,0.0008614
16,3394.58,0.44504,0.26338,0.81035,0.98323,0.96317,0.99067,0.93245,0.36069,0.21844,0.79506,0.0008515,0.0008515,0.0008515
17,3610.59,0.44148,0.26063,0.80915,0.98414,0.96257,0.99091,0.93366,0.35693,0.21395,0.79484,0.0008416,0.0008416,0.0008416
18,3823.4,0.43884,0.25846,0.80875,0.98306,0.96412,0.99137,0.93482,0.35476,0.21253,0.79391,0.0008317,0.0008317,0.0008317
19,4037.56,0.43459,0.25582,0.80756,0.98367,0.96356,0.99111,0.93509,0.35282,0.21079,0.79399,0.0008218,0.0008218,0.0008218
20,4250.83,0.43323,0.25439,0.80729,0.98352,0.9641,0.99126,0.9362,0.34947,0.20977,0.79245,0.0008119,0.0008119,0.0008119
21,4460.04,0.43151,0.25422,0.80738,0.9844,0.96384,0.99155,0.93781,0.34718,0.208,0.79288,0.000802,0.000802,0.000802
22,4669.07,0.42905,0.25191,0.80679,0.98536,0.96287,0.99147,0.9388,0.34475,0.20491,0.79294,0.0007921,0.0007921,0.0007921
23,4878.7,0.42637,0.24978,0.80631,0.98427,0.96399,0.99145,0.93916,0.34363,0.2046,0.79223,0.0007822,0.0007822,0.0007822
24,5089.25,0.425,0.2491,0.80619,0.98593,0.96293,0.99159,0.93904,0.34238,0.20204,0.79202,0.0007723,0.0007723,0.0007723
25,5298.65,0.42498,0.24961,0.80622,0.98451,0.9648,0.99155,0.94007,0.34045,0.20136,0.79144,0.0007624,0.0007624,0.0007624
26,5508.04,0.42158,0.2468,0.80597,0.98561,0.96432,0.99163,0.94027,0.3386,0.19984,0.79152,0.0007525,0.0007525,0.0007525
27,5718.96,0.41956,0.24507,0.80532,0.98502,0.96456,0.99174,0.94055,0.33765,0.19907,0.79099,0.0007426,0.0007426,0.0007426
28,5929.56,0.41655,0.24337,0.80461,0.98615,0.96329,0.99181,0.94201,0.33487,0.19735,0.79023,0.0007327,0.0007327,0.0007327
29,6139.85,0.41569,0.24278,0.80449,0.98405,0.96563,0.99188,0.94227,0.33314,0.19674,0.79022,0.0007228,0.0007228,0.0007228
30,6357.64,0.41313,0.24141,0.80407,0.98455,0.96552,0.99189,0.94267,0.33227,0.19597,0.78982,0.0007129,0.0007129,0.0007129
31,6575.1,0.4112,0.23953,0.80433,0.98405,0.96634,0.99188,0.94346,0.33106,0.19402,0.78979,0.000703,0.000703,0.000703
32,6792.67,0.4109,0.23915,0.80361,0.98563,0.96512,0.99196,0.94331,0.33023,0.19359,0.78976,0.0006931,0.0006931,0.0006931
33,7014.14,0.40868,0.23833,0.80354,0.9857,0.96482,0.99182,0.94384,0.3299,0.19279,0.78984,0.0006832,0.0006832,0.0006832
34,7232.81,0.40646,0.23645,0.80315,0.98422,0.96647,0.99189,0.94436,0.32881,0.19204,0.78982,0.0006733,0.0006733,0.0006733
35,7451.72,0.40534,0.23583,0.80267,0.98618,0.9644,0.99185,0.94466,0.3277,0.19139,0.78946,0.0006634,0.0006634,0.0006634
36,7669.44,0.40419,0.23469,0.80266,0.98546,0.96535,0.99195,0.94495,0.32694,0.19061,0.7895,0.0006535,0.0006535,0.0006535
37,7887.1,0.40283,0.23409,0.80237,0.98564,0.96559,0.99193,0.94519,0.32639,0.1901,0.78941,0.0006436,0.0006436,0.0006436
38,8104.96,0.40091,0.23251,0.80221,0.98514,0.96584,0.99197,0.94538,0.32553,0.18905,0.78932,0.0006337,0.0006337,0.0006337
39,8322.99,0.39862,0.23128,0.80147,0.98503,0.96615,0.99204,0.94561,0.32481,0.18849,0.78932,0.0006238,0.0006238,0.0006238
40,8540.42,0.39738,0.23004,0.80154,0.98497,0.96638,0.99203,0.94609,0.32434,0.18778,0.78949,0.0006139,0.0006139,0.0006139
41,8758.15,0.39657,0.22989,0.80073,0.98537,0.96626,0.99197,0.9461,0.32383,0.18726,0.78944,0.000604,0.000604,0.000604
42,8975.95,0.39519,0.2288,0.8011,0.98486,0.9671,0.99204,0.94635,0.32291,0.18689,0.78923,0.0005941,0.0005941,0.0005941
43,9193.68,0.39419,0.22866,0.80065,0.98512,0.96691,0.99204,0.9466,0.3221,0.18643,0.78906,0.0005842,0.0005842,0.0005842
44,9411.78,0.3936,0.22779,0.80068,0.98588,0.966,0.99208,0.94694,0.3215,0.18589,0.78894,0.0005743,0.0005743,0.0005743
45,9629.85,0.39113,0.22657,0.79989,0.98587,0.96579,0.99213,0.94728,0.32078,0.18555,0.78883,0.0005644,0.0005644,0.0005644
