epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,200.9,0.65811,0.4621,0.86371,0.97619,0.92178,0.96428,0.81128,0.6192,0.52036,0.84917,0.0700461,0.00332821,0.00332821
2,392.664,0.60022,0.37241,0.85208,0.9772,0.94808,0.97911,0.87129,0.48533,0.32357,0.82685,0.0399801,0.0065956,0.0065956
3,580.538,0.56994,0.34723,0.84335,0.9791,0.95291,0.98441,0.88491,0.47555,0.30007,0.82409,0.00984818,0.00979698,0.00979698
4,768.024,0.54944,0.33156,0.83915,0.97802,0.95147,0.98437,0.8928,0.47168,0.28659,0.82088,0.009703,0.009703,0.009703
5,956.504,0.52607,0.31527,0.83471,0.98027,0.95571,0.98638,0.90263,0.43623,0.26772,0.81511,0.009604,0.009604,0.009604
6,1145.08,0.50901,0.3045,0.83105,0.98265,0.95581,0.98591,0.90525,0.42067,0.25602,0.81191,0.009505,0.009505,0.009505
7,1333.11,0.497,0.29647,0.82815,0.98153,0.95732,0.98701,0.90814,0.41612,0.25111,0.81223,0.009406,0.009406,0.009406
8,1521.49,0.48777,0.28947,0.82693,0.98261,0.95627,0.98742,0.91567,0.40878,0.2465,0.80949,0.009307,0.009307,0.009307
9,1708.9,0.48153,0.28441,0.82518,0.98322,0.95693,0.98756,0.91477,0.39766,0.23529,0.80657,0.009208,0.009208,0.009208
10,1896.29,0.47428,0.28007,0.82308,0.98156,0.95646,0.98858,0.92299,0.39138,0.23626,0.80656,0.009109,0.009109,0.009109
11,2084.5,0.46981,0.27726,0.82297,0.98105,0.96053,0.98975,0.91961,0.38707,0.22973,0.80514,0.00901,0.00901,0.00901
12,2273.22,0.46582,0.2729,0.82154,0.98043,0.96036,0.98914,0.92243,0.38301,0.22652,0.80358,0.008911,0.008911,0.008911
13,2460.77,0.46117,0.27099,0.82094,0.9837,0.95858,0.98891,0.92767,0.37791,0.22063,0.80299,0.008812,0.008812,0.008812
14,2649.03,0.45703,0.26804,0.81986,0.98497,0.95956,0.98984,0.92948,0.37231,0.21903,0.80173,0.008713,0.008713,0.008713
15,2837.46,0.45424,0.26532,0.81931,0.98217,0.9607,0.98954,0.92524,0.37533,0.21864,0.80213,0.008614,0.008614,0.008614
16,3026.28,0.44927,0.26189,0.81862,0.98422,0.95896,0.98979,0.92946,0.36885,0.21468,0.80128,0.008515,0.008515,0.008515
17,3213.95,0.44814,0.26084,0.81839,0.98174,0.96209,0.99015,0.93015,0.36643,0.21229,0.8011,0.008416,0.008416,0.008416
18,3402.42,0.4433,0.25816,0.81709,0.98383,0.96055,0.99038,0.93352,0.36285,0.20856,0.79969,0.008317,0.008317,0.008317
19,3590.11,0.44246,0.25712,0.81639,0.98221,0.96188,0.99066,0.93331,0.35948,0.20791,0.79947,0.008218,0.008218,0.008218
20,3778.61,0.43911,0.25557,0.81669,0.9829,0.96189,0.99071,0.9314,0.35811,0.20754,0.799,0.008119,0.008119,0.008119
21,3968.51,0.43574,0.25405,0.81537,0.98496,0.95938,0.99063,0.93526,0.35624,0.20426,0.79898,0.00802,0.00802,0.00802
22,4159.41,0.43417,0.25169,0.81531,0.98461,0.96001,0.9906,0.93552,0.35314,0.20273,0.79786,0.007921,0.007921,0.007921
23,4351.36,0.43114,0.25005,0.8148,0.98307,0.96295,0.99071,0.9357,0.35213,0.20044,0.7977,0.007822,0.007822,0.007822
24,4544.29,0.42899,0.24829,0.81451,0.98412,0.96167,0.99066,0.93659,0.35084,0.199,0.79758,0.007723,0.007723,0.007723
25,4733.77,0.42693,0.24754,0.81302,0.98401,0.96159,0.99082,0.93811,0.34891,0.19931,0.79732,0.007624,0.007624,0.007624
26,4925.03,0.42518,0.24626,0.81355,0.98398,0.96187,0.99094,0.93849,0.34799,0.19577,0.79717,0.007525,0.007525,0.007525
27,5116.64,0.42112,0.24366,0.81262,0.98328,0.96306,0.99125,0.93998,0.34346,0.19468,0.7956,0.007426,0.007426,0.007426
28,5308.74,0.42076,0.24454,0.81243,0.9848,0.96239,0.9913,0.93971,0.34284,0.1942,0.79554,0.007327,0.007327,0.007327
29,5500.07,0.41749,0.24106,0.81223,0.98265,0.96381,0.99134,0.94045,0.34204,0.19293,0.79541,0.007228,0.007228,0.007228
30,5689.15,0.41585,0.23966,0.81116,0.98314,0.96373,0.99132,0.94111,0.33985,0.19113,0.79513,0.007129,0.007129,0.007129
31,5877.39,0.41475,0.23958,0.81133,0.98358,0.96435,0.99151,0.94104,0.33835,0.19039,0.79475,0.00703,0.00703,0.00703
32,6065.61,0.41207,0.23802,0.8108,0.9838,0.96418,0.9914,0.94143,0.3377,0.19003,0.79467,0.006931,0.006931,0.006931
33,6254.78,0.41137,0.2369,0.80988,0.98525,0.96318,0.99158,0.94271,0.3358,0.18861,0.79417,0.006832,0.006832,0.006832
34,6442.31,0.40961,0.23593,0.80984,0.98481,0.96373,0.99164,0.94312,0.33501,0.18771,0.79396,0.006733,0.006733,0.006733
35,6630.44,0.40786,0.23467,0.80949,0.98387,0.96468,0.9917,0.9437,0.33365,0.1871,0.79357,0.006634,0.006634,0.006634
36,6819.42,0.40714,0.23432,0.80967,0.98373,0.96509,0.99178,0.94372,0.33275,0.18644,0.79353,0.006535,0.006535,0.006535
37,7008.33,0.40533,0.23294,0.80925,0.984,0.96538,0.99167,0.9438,0.33183,0.18548,0.79348,0.006436,0.006436,0.006436
38,7196.74,0.40367,0.23223,0.80849,0.98396,0.96535,0.99179,0.9443,0.33117,0.18487,0.79323,0.006337,0.006337,0.006337
39,7384.89,0.40225,0.2311,0.80841,0.98434,0.9653,0.99177,0.94443,0.33077,0.18443,0.79314,0.006238,0.006238,0.006238
40,7586.22,0.40049,0.22965,0.80837,0.98434,0.96575,0.99173,0.94439,0.33028,0.18396,0.79308,0.006139,0.006139,0.006139
41,7781.51,0.39949,0.22965,0.80812,0.9843,0.96602,0.99179,0.94461,0.32914,0.18321,0.79293,0.00604,0.00604,0.00604
42,7976.21,0.3978,0.22896,0.80789,0.98508,0.96515,0.99184,0.94496,0.32845,0.18275,0.79268,0.005941,0.005941,0.005941
43,8188.16,0.39681,0.22809,0.8075,0.98505,0.9654,0.99187,0.9453,0.32747,0.18224,0.79234,0.005842,0.005842,0.005842
44,8383.22,0.3972,0.2274,0.80739,0.98505,0.96541,0.99184,0.94553,0.32674,0.18199,0.79221,0.005743,0.005743,0.005743
45,8577.05,0.39514,0.22621,0.80709,0.98453,0.96608,0.99199,0.94578,0.32624,0.18167,0.79213,0.005644,0.005644,0.005644
46,8772.16,0.39478,0.22621,0.8071,0.98484,0.9658,0.99193,0.94587,0.32586,0.18124,0.79209,0.005545,0.005545,0.005545
47,8966.48,0.39405,0.22468,0.80709,0.98419,0.96672,0.99192,0.94607,0.32523,0.18071,0.79196,0.005446,0.005446,0.005446
48,9160.45,0.39195,0.22442,0.8064,0.98412,0.9668,0.99188,0.94617,0.32481,0.18032,0.79192,0.005347,0.005347,0.005347
49,9366.95,0.39237,0.22436,0.80671,0.98456,0.96671,0.99194,0.94602,0.32478,0.18009,0.79197,0.005248,0.005248,0.005248
50,9560.78,0.39113,0.22271,0.80595,0.98448,0.96675,0.99194,0.94615,0.32441,0.17998,0.7919,0.005149,0.005149,0.005149
51,9754.33,0.38816,0.22158,0.8054,0.98448,0.96669,0.99198,0.94626,0.32413,0.17991,0.79183,0.00505,0.00505,0.00505
52,9947.66,0.38794,0.2209,0.80582,0.98462,0.96672,0.99201,0.94665,0.32388,0.17954,0.7918,0.004951,0.004951,0.004951
53,10136.7,0.38536,0.21989,0.80543,0.98397,0.96721,0.99208,0.94688,0.3235,0.17937,0.79175,0.004852,0.004852,0.004852
54,10325.7,0.38624,0.22059,0.80574,0.98377,0.96748,0.99207,0.94695,0.32317,0.17917,0.79167,0.004753,0.004753,0.004753
55,10514.9,0.38542,0.21993,0.8055,0.98372,0.9676,0.99209,0.94698,0.32297,0.17884,0.79159,0.004654,0.004654,0.004654
56,10704.5,0.38388,0.21854,0.80551,0.98375,0.96734,0.9921,0.94714,0.32261,0.1788,0.7915,0.004555,0.004555,0.004555
57,10893.2,0.38228,0.21797,0.80486,0.98391,0.96743,0.99209,0.94723,0.3223,0.17865,0.79145,0.004456,0.004456,0.004456
58,11083.2,0.38159,0.21697,0.80385,0.98381,0.96749,0.99208,0.94732,0.32202,0.17844,0.79135,0.004357,0.004357,0.004357
59,11272.9,0.38116,0.21654,0.80437,0.9842,0.96713,0.99211,0.94737,0.3219,0.17838,0.79131,0.004258,0.004258,0.004258
