fitness,mosaic,scale,fliplr,momentum
0.0,1.0,0.5,0.5,0.937
0.92772,0.91849,0.5,0.47478,0.98
0.92613,1.0,0.52054,0.51679,0.98
0.92614,1.0,0.52054,0.57504,0.93728
0.92712,1.0,0.56857,0.55192,0.93728
0.93037,1.0,0.41765,0.47478,0.98
0.92987,1.0,0.32264,0.42989,0.98
0.93276,1.0,0.35609,0.47478,0.87579
0.93108,1.0,0.34064,0.476,0.92562
0.93179,1.0,0.37145,0.49931,0.87579
0.0,0.99417,0.34363,0.46576,0.88974
0.92978,0.86915,0.37145,0.49931,0.80209
0.93326,0.96542,0.3602,0.48446,0.8797
0.93146,0.43687,0.34918,0.43597,0.98
0.9233,0.72039,0.19458,0.60332,0.8797
0.93143,0.78157,0.4653,0.35343,0.9171
0.0,1.0,0.32201,0.29182,0.98
0.92885,0.96489,0.36062,0.48425,0.8797
0.93384,0.8473,0.33761,0.37146,0.8797
0.9317,1.0,0.40812,0.44866,0.77456
0.0,0.8473,0.39945,0.52369,0.76269
0.93033,1.0,0.42131,0.47478,0.98
0.9306,0.94108,0.42339,0.41822,0.98
0.93273,0.88028,0.34141,0.3664,0.87476
0.92635,0.73044,0.33761,0.38865,0.8797
0.91799,0.86743,0.26314,0.59759,0.83654
0.93297,1.0,0.3602,0.39103,0.8856
0.93118,0.8473,0.33346,0.36334,0.83998
0.92438,0.8228,0.33771,0.37146,0.8891
0.93206,0.72702,0.46811,0.38769,0.8797
