epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.504,0.66238,0.4804,0.86254,0.9507,0.91892,0.96435,0.79604,0.67608,0.48623,0.88067,0.0700461,0.00332821,0.00332821
2,412.296,0.5938,0.37122,0.84935,0.97696,0.94613,0.98011,0.86242,0.51645,0.33394,0.83521,0.0393866,0.00600205,0.00600205
3,594.839,0.55431,0.34014,0.83832,0.97155,0.93789,0.97854,0.86712,0.51022,0.32693,0.83172,0.0080671,0.00801589,0.00801589
4,777.902,0.5275,0.32152,0.83339,0.97762,0.94822,0.98186,0.87922,0.48179,0.2952,0.82627,0.00703,0.00703,0.00703
5,960.485,0.50017,0.30235,0.82753,0.97833,0.95238,0.98486,0.90382,0.44282,0.27118,0.81559,0.00604,0.00604,0.00604
6,1145.29,0.47978,0.2868,0.82285,0.97943,0.9537,0.98605,0.90602,0.42833,0.25904,0.81387,0.00505,0.00505,0.00505
7,1328.8,0.46238,0.27532,0.81877,0.98079,0.95492,0.98688,0.91323,0.41624,0.25194,0.81239,0.00406,0.00406,0.00406
8,1511.37,0.44531,0.26351,0.81526,0.98169,0.95509,0.98776,0.91809,0.39961,0.23587,0.80734,0.00307,0.00307,0.00307
9,1697.22,0.43027,0.2509,0.8119,0.98105,0.95526,0.98782,0.92159,0.38863,0.23059,0.80494,0.00208,0.00208,0.00208
10,1881.85,0.41472,0.23779,0.80921,0.98282,0.95697,0.98922,0.92704,0.37796,0.21888,0.80252,0.00109,0.00109,0.00109
