epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,222.396,0.67852,0.49025,0.8621,0.96125,0.88666,0.93859,0.75753,0.75893,0.5338,0.90134,0.0700461,0.00332821,0.00332821
2,408.985,0.61055,0.38651,0.84967,0.9761,0.94306,0.97926,0.86569,0.52082,0.33546,0.83198,0.0393866,0.00600205,0.00600205
3,592.539,0.56704,0.35289,0.83915,0.98182,0.92909,0.97057,0.84349,0.55321,0.35377,0.83571,0.0080671,0.00801589,0.00801589
4,775.494,0.54133,0.33318,0.83401,0.97673,0.94833,0.98036,0.87642,0.47595,0.30054,0.82418,0.00703,0.00703,0.00703
5,958.99,0.51464,0.31297,0.82789,0.97614,0.95356,0.98525,0.89172,0.45941,0.278,0.81862,0.00604,0.00604,0.00604
6,1143.39,0.49529,0.29869,0.8241,0.98081,0.94794,0.98478,0.9066,0.4418,0.27317,0.81611,0.00505,0.00505,0.00505
7,1326.47,0.47822,0.28699,0.82016,0.98348,0.94485,0.97892,0.89506,0.42528,0.26711,0.81126,0.00406,0.00406,0.00406
8,1510.86,0.46162,0.2743,0.81625,0.98003,0.95181,0.98513,0.90663,0.4211,0.25169,0.81068,0.00307,0.00307,0.00307
9,1693.77,0.44774,0.26265,0.81337,0.98248,0.95284,0.98683,0.91802,0.39982,0.23901,0.80629,0.00208,0.00208,0.00208
10,1877.58,0.43112,0.24862,0.81068,0.98205,0.95589,0.9883,0.92242,0.39076,0.2268,0.80406,0.00109,0.00109,0.00109
