epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,233.762,0.69593,0.50152,0.86664,0.95736,0.92393,0.96716,0.79634,0.68224,0.50502,0.86927,0.0700461,0.00332821,0.00332821
2,426.713,0.62849,0.39551,0.85309,0.97759,0.94328,0.97849,0.86101,0.53455,0.33216,0.83524,0.0393866,0.00600205,0.00600205
3,617.672,0.58353,0.36074,0.84234,0.97408,0.94433,0.97933,0.86261,0.52139,0.32867,0.82918,0.0080671,0.00801589,0.00801589
4,809.476,0.55313,0.33867,0.83607,0.9771,0.93774,0.98006,0.87766,0.49158,0.31188,0.8274,0.00703,0.00703,0.00703
5,1000.85,0.52783,0.31916,0.83053,0.97848,0.94631,0.97908,0.87852,0.48502,0.30144,0.82328,0.00604,0.00604,0.00604
6,1191.96,0.50646,0.3044,0.82551,0.98208,0.94829,0.98425,0.89518,0.4538,0.27887,0.8183,0.00505,0.00505,0.00505
7,1379.33,0.48944,0.29149,0.82168,0.98006,0.94963,0.98228,0.90526,0.42169,0.26385,0.81102,0.00406,0.00406,0.00406
8,1565.8,0.47142,0.27974,0.81786,0.98184,0.95084,0.98473,0.91231,0.41656,0.25382,0.80934,0.00307,0.00307,0.00307
9,1754.08,0.45786,0.26791,0.81422,0.98034,0.95046,0.98535,0.91827,0.40334,0.24458,0.80721,0.00208,0.00208,0.00208
10,1941.84,0.4396,0.25272,0.81214,0.98025,0.95128,0.98634,0.92222,0.38921,0.23339,0.8047,0.00109,0.00109,0.00109
