epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.201,0.68004,0.49328,0.86215,0.9553,0.92112,0.96533,0.77789,0.71359,0.56955,0.88095,0.0700461,0.00332821,0.00332821
2,412.579,0.60986,0.38785,0.84874,0.9746,0.94753,0.9816,0.8546,0.53962,0.34978,0.83539,0.0393867,0.00600212,0.00600212
3,596.462,0.56464,0.35265,0.83772,0.97895,0.94329,0.97794,0.84762,0.56689,0.34204,0.84086,0.0080673,0.00801609,0.00801609
4,779.452,0.54208,0.33528,0.83337,0.97509,0.94465,0.98077,0.86977,0.51405,0.32275,0.83119,0.0070303,0.0070303,0.0070303
5,963.204,0.515,0.31436,0.82754,0.97503,0.95175,0.98454,0.8847,0.48718,0.28775,0.82399,0.0060404,0.0060404,0.0060404
6,1145.72,0.49155,0.29797,0.82259,0.98128,0.95285,0.98569,0.89478,0.46814,0.27713,0.82005,0.0050505,0.0050505,0.0050505
7,1329.48,0.4785,0.28789,0.81939,0.98131,0.95432,0.98382,0.89005,0.44967,0.26206,0.81726,0.0040606,0.0040606,0.0040606
8,1513.75,0.46038,0.27457,0.81574,0.98018,0.95768,0.98722,0.90942,0.42124,0.24917,0.81194,0.0030707,0.0030707,0.0030707
9,1696.85,0.44622,0.26301,0.81239,0.98141,0.95793,0.98769,0.91728,0.39408,0.236,0.80671,0.0020808,0.0020808,0.0020808
10,1880.5,0.42944,0.24884,0.80958,0.9807,0.9601,0.98937,0.92187,0.38851,0.22475,0.80444,0.0010909,0.0010909,0.0010909
