fitness,lr0,momentum,weight_decay,lrf
0.92901,0.01,0.937,0.0005,0.01
0.92946,0.00992,0.93547,0.0005,0.01
0.92984,0.01,0.93547,0.0005,0.01
0.92978,0.01,0.93547,0.00053,0.0101
0.0,0.01,0.95808,0.0005,0.01027
0.92925,0.01,0.81837,0.00049,0.01
0.92805,0.00932,0.91338,0.00056,0.01321
0.92909,0.0093,0.93547,0.00063,0.01
0.93025,0.00975,0.89399,0.0005,0.0101
0.93069,0.00975,0.73697,0.00053,0.01
0.92773,0.00843,0.98,0.0005,0.01168
0.0,0.00997,0.72358,0.00059,0.01
0.92937,0.01,0.89399,0.00041,0.01001
0.92597,0.01,0.97181,0.00048,0.01042
0.92914,0.01,0.91715,0.00053,0.01
0.92862,0.01,0.93547,0.00052,0.0101
0.92602,0.00992,0.98,0.00052,0.01009
0.92974,0.00895,0.89399,0.00043,0.01
0.92869,0.00755,0.73697,0.00062,0.0102
0.0,0.0089,0.7575,0.00049,0.01
0.93013,0.00975,0.77991,0.00058,0.01062
0.93056,0.00871,0.73697,0.00053,0.01
0.93052,0.00872,0.81159,0.00052,0.0102
0.92926,0.00975,0.89945,0.00051,0.01101
0.93029,0.00823,0.68383,0.00058,0.01061
0.93171,0.00872,0.74823,0.00049,0.01042
0.92957,0.00715,0.83917,0.0005,0.01125
0.92847,0.00859,0.73697,0.00049,0.01113
0.93254,0.00947,0.74823,0.00046,0.01063
0.92958,0.00748,0.72075,0.00046,0.0108
